id,carat,cut,color,clarity,depth,table,x,y,z,price
204,0.3,Very Good,H,SI1,60.7,61.0,4.32,4.35,2.63,432
205,1.67,Ideal,E,SI2,61.2,57.0,7.64,7.59,4.67,10446
206,0.7,Very Good,F,SI1,61.3,59.0,5.7,5.75,3.51,2409
207,1.36,Ideal,E,VVS1,62.1,58.0,7.03,7.06,4.39,15193
208,0.9,Very Good,G,SI1,63.4,57.0,6.07,6.09,3.86,3673
209,1.16,Ideal,J,VS1,61.8,56.0,6.72,6.79,4.17,5210
210,0.55,Ideal,F,SI2,60.9,56.0,5.26,5.3,3.21,1202
211,1.31,Ideal,I,SI1,62.4,56.0,6.98,6.92,4.35,5397
212,0.52,Ideal,H,VVS1,62.2,55.0,5.15,5.17,3.21,1721
213,1.02,Ideal,H,SI1,61.6,57.0,6.46,6.49,3.99,4077
214,2.18,Premium,H,SI2,61.3,58.0,8.26,8.34,5.09,16941
215,0.43,Ideal,D,VVS2,61.9,56.0,4.84,4.87,3.01,1352
216,0.76,Ideal,H,IF,61.3,56.0,5.85,5.91,3.6,3347
217,0.33,Ideal,I,VS1,61.3,56.0,4.46,4.49,2.74,891
218,1.19,Premium,J,SI1,61.8,59.0,6.81,6.76,4.19,4498
219,1.52,Premium,E,SI2,59.3,60.0,7.51,7.46,4.43,8291
220,0.35,Ideal,D,VVS1,61.6,55.0,4.56,4.54,2.8,1212
221,1.5,Good,G,SI2,60.5,59.0,7.35,7.39,4.46,9282
222,1.56,Good,D,VS2,61.6,58.0,7.52,7.48,4.62,15231
223,1.0,Good,H,SI2,63.7,58.0,6.25,6.2,3.96,3850
224,1.74,Ideal,G,SI1,62.4,57.0,7.74,7.78,4.85,16587
225,0.9,Very Good,I,VS2,62.9,58.0,6.1,6.17,3.85,3541
226,1.01,Premium,H,VS2,62.5,58.0,6.45,6.41,4.02,4911
227,0.41,Premium,F,VVS2,62.8,58.0,4.73,4.71,2.96,1115
228,0.32,Ideal,F,VVS1,62.1,54.0,4.41,4.45,2.76,863
229,0.31,Ideal,G,IF,61.0,56.0,4.37,4.38,2.67,988
230,2.43,Very Good,J,SI2,62.3,56.0,8.56,8.49,5.34,12654
231,0.41,Premium,F,VVS1,62.1,59.0,4.75,4.78,2.96,1265
232,1.09,Premium,E,SI2,62.2,58.0,6.53,6.56,4.07,4451
233,0.9,Very Good,I,SI2,63.4,57.0,6.14,6.16,3.89,3034
234,0.42,Ideal,G,VS1,62.6,57.0,4.84,4.75,2.99,1050
235,0.73,Ideal,G,VS2,62.1,55.0,5.74,5.8,3.59,2915
236,1.01,Very Good,F,SI2,62.8,56.0,6.36,6.4,4.0,4592
237,1.2,Ideal,G,VS1,61.9,56.0,6.84,6.81,4.23,8381
238,0.5,Ideal,F,SI2,60.8,57.0,5.1,5.13,3.11,1141
239,1.0,Very Good,G,VS2,63.4,60.0,6.35,6.29,4.0,6062
240,0.5,Ideal,G,VS1,61.5,56.0,5.11,5.15,3.16,1752
241,1.04,Ideal,D,VS2,62.2,56.0,6.49,6.44,4.02,6762
242,0.51,Premium,H,VVS1,62.2,57.0,5.14,5.09,3.18,1881
243,0.4,Ideal,D,VS2,60.9,57.0,4.74,4.78,2.9,1033
244,0.4,Very Good,D,SI1,62.0,61.0,4.67,4.71,2.91,777
245,0.3,Premium,D,VS2,60.7,58.0,4.34,4.38,2.64,652
246,0.3,Premium,E,VVS2,61.6,58.0,4.33,4.37,2.68,669
247,1.0,Fair,H,SI1,64.6,59.0,6.21,6.28,4.05,4193
248,1.51,Ideal,G,VS2,62.4,56.0,7.31,7.33,4.58,11678
249,0.72,Premium,E,VS2,62.0,59.0,5.72,5.76,3.56,2874
250,0.33,Ideal,G,VS1,62.3,56.0,4.39,4.42,2.74,666
251,0.95,Premium,D,SI1,62.6,58.0,6.24,6.27,3.92,4750
252,1.01,Very Good,G,SI1,63.1,56.0,6.4,6.43,4.04,4579
253,0.91,Premium,I,SI2,62.8,59.0,6.14,6.18,3.86,2981
254,0.41,Ideal,I,VVS2,61.8,57.0,4.79,4.74,2.94,827
255,0.33,Ideal,G,VVS2,61.8,56.0,4.41,4.44,2.74,766
256,1.56,Premium,J,VS2,59.7,59.0,7.59,7.53,4.51,7848
257,0.71,Very Good,E,SI2,59.0,61.0,5.92,5.85,3.46,2368
258,0.31,Ideal,G,VVS1,62.4,55.0,4.31,4.35,2.7,789
259,0.51,Ideal,D,VS2,61.8,56.0,5.12,5.14,3.17,1956
260,2.2,Very Good,H,SI1,60.2,61.0,8.49,8.45,5.08,18363
261,0.7,Very Good,G,SI1,62.2,59.0,5.68,5.72,3.55,2184
262,1.51,Ideal,H,VS2,60.2,58.0,7.44,7.37,4.47,11430
263,0.32,Premium,H,VS2,61.3,58.0,4.44,4.4,2.71,648
264,0.36,Ideal,F,VS2,61.0,55.0,4.61,4.65,2.81,821
265,1.05,Ideal,D,SI2,62.5,56.0,6.5,6.52,4.07,4809
266,1.02,Ideal,E,SI2,61.8,54.0,6.49,6.43,3.99,3674
267,1.01,Very Good,H,SI1,62.0,59.0,6.43,6.38,3.97,5021
268,0.5,Very Good,G,VVS2,62.8,58.0,5.08,5.05,3.18,1915
269,0.31,Ideal,D,VVS2,62.6,57.0,4.3,4.32,2.7,816
270,2.1,Premium,G,SI2,61.5,61.0,8.27,8.21,5.05,17027
271,0.68,Very Good,G,VS2,59.6,60.0,5.7,5.73,3.42,2188
272,0.7,Ideal,I,SI2,61.1,57.0,5.72,5.75,3.51,1864
273,0.7,Ideal,E,VS2,62.1,57.0,5.7,5.68,3.54,2824
274,0.38,Ideal,E,VVS1,61.5,56.0,4.69,4.64,2.86,1356
275,0.33,Ideal,I,SI1,62.2,54.0,4.44,4.46,2.77,445
276,0.31,Good,F,SI2,63.6,56.0,4.31,4.35,2.75,408
277,0.9,Very Good,D,SI2,59.9,61.0,6.19,6.24,3.71,3656
278,0.5,Good,F,SI1,63.6,56.0,5.01,4.9,3.15,1155
279,0.27,Ideal,E,VS1,62.1,56.0,4.11,4.15,2.56,470
280,1.1,Ideal,H,SI2,60.9,58.0,6.66,6.7,4.05,4812
281,1.3,Good,D,SI2,60.2,61.0,7.08,7.04,4.24,6062
282,0.76,Very Good,H,SI2,59.6,58.0,5.92,5.96,3.55,2372
283,0.3,Very Good,G,VVS2,63.1,57.0,4.29,4.26,2.7,878
284,2.25,Ideal,H,SI2,61.7,56.0,8.34,8.39,5.16,17186
285,0.52,Ideal,E,VS2,62.5,57.0,5.15,5.17,3.23,1777
286,0.51,Ideal,G,SI2,62.6,57.0,5.08,5.12,3.2,1181
287,0.76,Very Good,H,SI2,61.9,56.0,5.89,5.85,3.63,2337
288,0.3,Ideal,D,SI1,62.3,55.0,4.3,4.28,2.67,709
289,2.04,Premium,H,SI1,62.0,60.0,8.14,8.07,5.01,17403
290,0.7,Very Good,G,VS2,60.6,60.0,5.72,5.75,3.47,2507
291,0.28,Ideal,I,VS1,62.5,54.0,4.15,4.18,2.61,448
292,0.5,Premium,H,SI1,62.0,59.0,5.05,5.02,3.11,1094
293,0.31,Ideal,G,VVS1,61.3,57.0,4.34,4.37,2.67,789
294,0.29,Very Good,G,VS2,59.2,62.0,4.33,4.35,2.57,650
295,0.41,Ideal,D,VS2,61.9,56.0,4.8,4.78,2.96,1076
296,0.5,Premium,I,VVS2,62.4,58.0,5.14,5.01,3.17,1239
297,0.38,Premium,E,VS2,61.5,59.0,4.66,4.63,2.85,958
298,0.94,Premium,D,SI2,60.9,59.0,6.36,6.38,3.88,4389
299,0.7,Premium,F,SI2,60.5,60.0,5.76,5.73,3.48,2333
300,0.5,Premium,G,VS1,61.3,60.0,5.11,5.07,3.12,1746
301,0.3,Very Good,F,IF,62.2,57.0,4.27,4.3,2.66,886
302,1.51,Premium,H,SI1,62.7,58.0,7.3,7.26,4.57,13299
303,1.21,Premium,H,SI1,61.1,58.0,6.88,6.84,4.19,6066
304,0.55,Ideal,E,VS2,62.2,56.0,5.23,5.25,3.26,1819
305,0.32,Premium,H,VS1,62.3,55.0,4.37,4.39,2.73,650
306,0.51,Ideal,H,VS2,61.9,55.0,5.17,5.14,3.19,1356
307,0.72,Ideal,H,VS2,62.1,55.0,5.72,5.74,3.56,2949
308,0.72,Premium,I,VVS2,61.1,58.0,5.77,5.79,3.53,2535
309,0.57,Very Good,H,VVS1,60.8,57.0,5.32,5.34,3.23,1968
310,1.2,Premium,G,VS1,60.3,58.0,6.9,6.88,4.16,8442
311,0.7,Premium,G,VS1,58.3,58.0,5.9,5.86,3.42,2567
312,1.4,Premium,H,SI1,61.8,59.0,7.16,7.14,4.41,7225
313,0.52,Ideal,E,SI1,62.3,57.0,5.16,5.13,3.2,1435
314,0.42,Ideal,H,VVS2,62.6,56.0,4.81,4.76,2.99,1116
315,0.9,Premium,D,SI2,59.6,59.0,6.26,6.3,3.74,3313
316,0.72,Ideal,I,VS1,61.9,56.0,5.74,5.76,3.56,2596
317,0.51,Good,D,IF,63.1,58.0,5.06,5.11,3.21,2139
318,1.34,Ideal,H,VS1,62.3,54.8,7.05,7.07,4.42,8701
319,0.7,Ideal,F,SI1,61.6,57.0,5.71,5.74,3.53,2559
320,0.55,Ideal,F,SI2,60.9,57.0,5.3,5.34,3.23,1069
321,0.31,Very Good,D,SI1,62.8,58.0,4.28,4.3,2.7,732
322,0.31,Ideal,E,VS2,61.6,54.0,4.37,4.39,2.7,600
323,0.55,Premium,E,VS2,61.6,58.0,5.28,5.23,3.23,1786
324,1.2,Premium,J,SI2,62.4,58.0,6.82,6.8,4.25,4022
325,0.41,Very Good,D,VS2,63.2,58.0,4.68,4.71,2.96,942
326,0.33,Ideal,E,VS2,62.0,55.0,4.42,4.39,2.73,928
327,0.31,Ideal,G,VVS1,60.4,56.0,4.38,4.44,2.67,789
328,1.01,Very Good,H,SI1,61.6,61.0,6.42,6.4,3.94,4558
329,0.51,Ideal,E,VS2,60.9,56.0,5.18,5.22,3.18,1654
330,0.31,Ideal,G,VVS1,62.3,56.0,4.31,4.34,2.7,816
331,0.37,Ideal,E,VS1,61.9,55.0,4.64,4.67,2.87,993
332,1.01,Very Good,F,VS2,63.3,58.0,6.3,6.33,4.0,6190
333,2.02,Ideal,I,SI1,61.7,57.0,8.12,8.06,5.0,16123
334,0.9,Ideal,H,SI1,62.0,55.0,6.2,6.22,3.85,3980
335,0.7,Very Good,I,VS2,63.4,60.0,5.64,5.6,3.56,2177
336,0.4,Ideal,F,SI2,62.0,54.0,4.77,4.73,2.95,694
337,0.34,Ideal,G,VS2,62.0,55.0,4.48,4.5,2.78,616
338,0.58,Ideal,F,VS2,62.2,58.0,5.33,5.34,3.32,1749
339,0.3,Premium,G,SI1,61.9,58.0,4.26,4.31,2.65,522
340,0.55,Good,E,VS2,59.6,61.0,5.3,5.37,3.17,1689
341,1.03,Premium,D,SI2,62.4,58.0,6.45,6.37,4.0,4670
342,0.26,Very Good,H,VVS2,62.8,54.0,4.06,4.09,2.56,472
343,2.01,Premium,I,VS1,60.8,60.0,8.15,8.24,4.97,18181
344,0.5,Premium,E,SI1,62.6,61.0,5.12,5.08,3.18,1303
345,0.37,Ideal,D,SI2,60.7,57.0,4.66,4.63,2.82,571
346,0.55,Very Good,G,SI1,62.9,57.0,5.2,5.23,3.28,1305
347,0.3,Ideal,I,SI1,61.5,56.0,4.34,4.38,2.68,394
348,1.0,Premium,G,SI2,60.1,57.0,6.48,6.52,3.92,3801
349,0.7,Premium,F,SI1,63.0,59.0,5.64,5.58,3.53,2016
350,0.42,Ideal,F,VVS2,62.0,55.0,4.82,4.8,2.99,1141
351,0.71,Premium,F,SI2,59.6,62.0,5.83,5.8,3.46,2162
352,0.41,Ideal,I,VVS2,61.3,57.0,4.83,4.75,2.94,1061
